"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userCanTransferMoneyBetweenHisAccountWithFraudCheckTest(double)","","2026-09-17","skipped","2026-09-17","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCanTransferMoneyBetweenHisAccountWithFraudCheckTest"
"","651","userCannotDepositMoneyIfNoAccountIsSelectedTest()","","2026-09-17","passed","2026-09-17","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCannotDepositMoneyIfNoAccountIsSelectedTest"
"","1071","userCannotDepositMoneyIntoHisAccountTest()","","2026-09-17","passed","2026-09-17","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","430","adminCanLoginWithCorrectedDataTest()","","2026-09-17","passed","2026-09-17","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectedDataTest"
"","933","userCanTransferMoneyBetweenHisAccountTest(double) [1] amount=0.01","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","447","userCannotUpdateNameTest(String) [3] newName=Maria Anna Soul","","2026-09-17","passed","2026-09-17","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","0","filterIsWorkingCorrectlyIfNoMatches()","","2026-09-17","skipped","2026-09-17","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","filterIsWorkingCorrectlyIfNoMatches"
"","1100","userCannotUpdateNameTest()","","2026-09-17","passed","2026-09-17","","ui.iteration2.UpdateNameTest","ui.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","294","userCanGenerateAuthTokenTest()","","2026-09-17","passed","2026-09-17","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","592","userCannotDepositMoneyIntoHisAccountTest(double) [2] amount=0.0","","2026-09-17","passed","2026-09-17","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","973","userCannotTransferMoneyBetweenHisAccountTest(double) [2] amount=0.0","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","0","buttonSendTransferDisabledIfAmountIsNotFilledTest()","","2026-09-17","skipped","2026-09-17","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","buttonSendTransferDisabledIfAmountIsNotFilledTest"
"","441","userCannotUpdateNameTest(String) [4] newName=Poll 2","","2026-09-17","passed","2026-09-17","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","678","userCanLoginWithCorrectedDataTest()","","2026-09-17","passed","2026-09-17","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectedDataTest"
"","956","userCannotTransferMoneyBetweenHisAccountTest(double) [1] amount=-1.0","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","0","userCanUpdateNameTest()","","2026-09-17","skipped","2026-09-17","","ui.iteration2.UpdateNameTest","ui.iteration2.UpdateNameTest","userCanUpdateNameTest"
"","1103","userCanTransferMoneyToSomeonesAccountTest()","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyToSomeonesAccountTest"
"","2221","userCannotTransferMoneyAgainTest()","","2026-09-17","passed","2026-09-17","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","userCannotTransferMoneyAgainTest"
"","2022","userCanTransferMoneyBetweenHisAccountTest()","","2026-09-17","passed","2026-09-17","","ui.iteration2.TransferTest","ui.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","447","userCannotUpdateNameTest(String) [1] newName=","","2026-09-17","passed","2026-09-17","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","555","userCanDepositMoneyIntoHisAccountTest(double) [3] amount=5000.0","","2026-09-17","passed","2026-09-17","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","0","userCanTransferMoneyAgainTest()","","2026-09-17","skipped","2026-09-17","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","userCanTransferMoneyAgainTest"
"","0","userCanTransferMoneyToSomeonesAccountWithFraudCheckTest()","","2026-09-17","skipped","2026-09-17","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCanTransferMoneyToSomeonesAccountWithFraudCheckTest"
"","355","userCanUpdateNameTest(String) [1] newName=John A","","2026-09-17","passed","2026-09-17","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCanUpdateNameTest"
"","95","adminCanGenerateAuthTokenTest()","","2026-09-17","passed","2026-09-17","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","561","userCanDepositMoneyIntoHisAccountTest(double) [2] amount=4999.99","","2026-09-17","passed","2026-09-17","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","4811","userCanCreateAccountTest()","","2026-09-17","passed","2026-09-17","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","474","adminCanNotCreateUserWithInvalidData(String, String, String, List) [1] username=  , password=Password1!, errorKey=username, errorValues=[Username cannot be blank, Username must be between 3 and 15 characters, Username must contain only letters, digits, dashes, underscores, and dots]","","2026-09-17","passed","2026-09-17","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","812","adminCannotCreateUserWithInvalidDataTest()","","2026-09-17","passed","2026-09-17","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","0","userCannotTransferMoneyBetweenHisAccountWithFraudCheckTest(double)","","2026-09-17","skipped","2026-09-17","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCannotTransferMoneyBetweenHisAccountWithFraudCheckTest"
"","1016","userCanTransferMoneyBetweenHisAccountTest(double) [2] amount=9999.99","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","349","userCanUpdateNameTest(String) [2] newName=a black","","2026-09-17","passed","2026-09-17","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCanUpdateNameTest"
"","575","userCannotDepositMoneyToSomeoneOrToNonexistentAccountTest()","","2026-09-17","passed","2026-09-17","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyToSomeoneOrToNonexistentAccountTest"
"","1026","userCanTransferMoneyBetweenHisAccountTest(double) [3] amount=10000.0","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","0","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredWithFraudCheckTest()","","2026-09-17","skipped","2026-09-17","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredWithFraudCheckTest"
"","444","userCannotUpdateNameTest(String) [5] newName=1 Rich","","2026-09-17","passed","2026-09-17","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","917","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredTest()","","2026-09-17","passed","2026-09-17","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredTest"
"","2078","adminCanCreateUserTest()","","2026-09-17","passed","2026-09-17","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
