"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","filterIsWorkingCorrectly()","","2026-09-22","skipped","2026-09-22","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","filterIsWorkingCorrectly"
"","1131","userCanTransferMoneyBetweenHisAccountTest(double) [2] amount=9999.99","","2026-09-22","passed","2026-09-22","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","0","buttonSendTransferDisabledIfAmountIsNotFilledTest()","","2026-09-22","skipped","2026-09-22","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","buttonSendTransferDisabledIfAmountIsNotFilledTest"
"","910","adminCannotCreateUserWithInvalidDataTest()","","2026-09-22","passed","2026-09-22","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","595","userCannotDepositMoneyIntoHisAccountTest(double) [2] amount=0.0","","2026-09-22","passed","2026-09-22","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","1135","userCannotDepositMoneyIntoHisAccountTest()","","2026-09-22","passed","2026-09-22","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","2479","userCannotTransferMoneyBetweenHisAccountTest()","","2026-09-22","passed","2026-09-22","","ui.iteration2.TransferTest","ui.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","1325","userCanDepositMoneyIntoHisAccountTest()","","2026-09-22","passed","2026-09-22","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","2545","userCannotTransferMoneyAgainTest()","","2026-09-22","passed","2026-09-22","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","userCannotTransferMoneyAgainTest"
"","604","userCannotDepositMoneyIntoHisAccountTest(double) [3] amount=5000.01","","2026-09-22","passed","2026-09-22","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","1269","userCanTransferMoneyToSomeonesAccountTest()","","2026-09-22","passed","2026-09-22","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyToSomeonesAccountTest"
"","678","userCanLoginWithCorrectedDataTest()","","2026-09-22","passed","2026-09-22","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectedDataTest"
"","1262","userCannotTransferMoneyBetweenHisAccountTest(double) [3] amount=10000.01","","2026-09-22","passed","2026-09-22","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
