"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","709","userCanLoginWithCorrectedDataTest()","","2026-09-10","passed","2026-09-10","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectedDataTest"
"","2388","userCannotTransferMoneyBetweenHisAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.TransferTest","ui.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","517","userCannotUpdateNameTest(String) [2] newName=John","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","1034","userCannotTransferMoneyBetweenHisAccountTest(double) [2] amount=0.0","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","1032","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredTest()","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredTest"
"","664","userCannotUpdateNameTest(String) [1] newName=","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","0","filterIsWorkingCorrectlyIfNoMatches()","","2026-09-10","skipped","2026-09-10","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","filterIsWorkingCorrectlyIfNoMatches"
"","1274","userCannotTransferMoneyBetweenHisAccountTest(double) [3] amount=10000.01","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","1204","userCanTransferMoneyToSomeonesAccountTest()","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyToSomeonesAccountTest"
"","395","userCanUpdateNameTest(String) [1] newName=John A","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCanUpdateNameTest"
"","494","userCannotUpdateNameTest(String) [4] newName=Poll 2","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","1","userCanTransferMoneyToSomeonesAccountWithFraudCheckTest()","","2026-09-10","skipped","2026-09-10","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCanTransferMoneyToSomeonesAccountWithFraudCheckTest"
"","309","userCanGenerateAuthTokenTest()","","2026-09-10","passed","2026-09-10","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","121","adminCanNotCreateUserWithInvalidData(String, String, String, List) [3] username=ab%, password=Password1!, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-09-10","passed","2026-09-10","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","userCannotTransferMoneyBetweenHisAccountWithFraudCheckTest(double)","","2026-09-10","skipped","2026-09-10","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCannotTransferMoneyBetweenHisAccountWithFraudCheckTest"
"","627","userCanDepositMoneyIntoHisAccountTest(double) [1] amount=0.01","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","652","userCannotDepositMoneyIntoHisAccountTest(double) [1] amount=-1.0","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","644","userCannotUpdateNameTest()","","2026-09-10","failed","2026-09-10","","ui.iteration2.UpdateNameTest","ui.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","1104","userCannotDepositMoneyIntoHisAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","0","userCanTransferMoneyBetweenHisAccountWithFraudCheckTest(double)","","2026-09-10","skipped","2026-09-10","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCanTransferMoneyBetweenHisAccountWithFraudCheckTest"
"","4743","userCanCreateAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","614","userCanDepositMoneyIntoHisAccountTest(double) [2] amount=4999.99","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","101","adminCanGenerateAuthTokenTest()","","2026-09-10","passed","2026-09-10","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","610","userCanCreateAccountTest()","","2026-09-10","passed","2026-09-10","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","1115","userCanTransferMoneyBetweenHisAccountTest(double) [3] amount=10000.0","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","480","adminCanNotCreateUserWithInvalidData(String, String, String, List) [1] username=  , password=Password1!, errorKey=username, errorValues=[Username cannot be blank, Username must be between 3 and 15 characters, Username must contain only letters, digits, dashes, underscores, and dots]","","2026-09-10","passed","2026-09-10","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","668","userCannotDepositMoneyIfNoAccountIsSelectedTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCannotDepositMoneyIfNoAccountIsSelectedTest"
"","1054","userCannotTransferMoneyBetweenHisAccountTest(double) [1] amount=-1.0","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCannotTransferMoneyBetweenHisAccountTest"
"","2039","adminCanCreateUserTest()","","2026-09-10","passed","2026-09-10","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","0","userCanTransferMoneyAgainTest()","","2026-09-10","skipped","2026-09-10","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","userCanTransferMoneyAgainTest"
"","0","userCanUpdateNameTest()","","2026-09-10","skipped","2026-09-10","","ui.iteration2.UpdateNameTest","ui.iteration2.UpdateNameTest","userCanUpdateNameTest"
"","387","userCanUpdateNameTest(String) [2] newName=a black","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCanUpdateNameTest"
"","825","adminCannotCreateUserWithInvalidDataTest()","","2026-09-10","passed","2026-09-10","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","2136","userCanTransferMoneyBetweenHisAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.TransferTest","ui.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","653","userCannotDepositMoneyToSomeoneOrToNonexistentAccountTest()","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyToSomeoneOrToNonexistentAccountTest"
"","0","buttonSendTransferDisabledIfAmountIsNotFilledTest()","","2026-09-10","skipped","2026-09-10","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","buttonSendTransferDisabledIfAmountIsNotFilledTest"
"","488","userCannotUpdateNameTest(String) [3] newName=Maria Anna Soul","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","428","adminCanLoginWithCorrectedDataTest()","","2026-09-10","passed","2026-09-10","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectedDataTest"
"","481","userCannotUpdateNameTest(String) [5] newName=1 Rich","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","136","adminCanNotCreateUserWithInvalidData(String, String, String, List) [2] username=ab, password=Password1!, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","2026-09-10","passed","2026-09-10","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","filterIsWorkingCorrectly()","","2026-09-10","skipped","2026-09-10","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","filterIsWorkingCorrectly"
"","1128","userCanTransferMoneyBetweenHisAccountTest(double) [2] amount=9999.99","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","1047","userCanTransferMoneyBetweenHisAccountTest(double) [1] amount=0.01","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","1397","userCanDepositMoneyIntoHisAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","1513","userCannotTransferMoneyIfAmountIsNotFilledTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.TransferTest","ui.iteration2.TransferTest","userCannotTransferMoneyIfAmountIsNotFilledTest"
"","643","userCannotDepositMoneyIntoHisAccountTest(double) [2] amount=0.0","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","483","userCannotUpdateNameTest(String) [6] newName=Rock Tomas3","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","618","userCannotDepositMoneyIntoHisAccountTest(double) [3] amount=5000.01","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","613","userCanDepositMoneyIntoHisAccountTest(double) [3] amount=5000.0","","2026-09-10","passed","2026-09-10","","api.iteration2.DepositTest","api.iteration2.DepositTest","userCanDepositMoneyIntoHisAccountTest"
"","2515","userCannotTransferMoneyAgainTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","userCannotTransferMoneyAgainTest"
"","0","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredWithFraudCheckTest()","","2026-09-10","skipped","2026-09-10","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredWithFraudCheckTest"
